amie,nombre_institucion
09H02009,UNIDAD EDUCATIVA SALESIANA FISCOMISIONAL DOMINGO COMIN
09H02019,ESCUELA PARTICULAR LICEO PANAMERICANO CENTENARIO
09H02032,UNIDAD EDUCATIVA FISCAL JOSE ALFREDO LLERENA
09H02049,UNIDAD EDUCATIVA FISCAL NUEVE DE OCTUBRE
09H02072,ESCUELA DE EDUCACION BASICA PARTICULAR  PADRE JUAN DE VELASCO
09H02089,MONSEÑOR JUAN MARIA RIERA
09H02095,NELA MARTINEZ ESPINOZA
09H02146,UNIDAD EDUCATIVA PARTICULAR SERGIO NUÑEZ SANTAMARIA
09H02166,ESCUELA DE EDUCACION BASICA FISCAL JORGE VILLEGAS SERRANO
09H02195,LUIS ALBERTO COSTALES CAZAR
09H02214,PARTICULAR EUROAMERICA
09H02230,ESCUELA DE EDUACION BASICA PARTICULAR O.E.I.
09H02249,AMERICAN SCHOOL
09H02336,ESCUELA DE EDUCACION BASICA FISCAL ESTELA LANGE DE BERNAL
09H02351,ESCUELA DE EDUCACION BASICA FISCAL CIUDAD DE AZOGUES
09H02365,SAN FRANCISCO DE QUITO
09H02392,UNIDAD EDUCATIVA JOSE MIGUEL GARCIA MORENO
09H02410,JARDIN ESCUELA MIXTA PARTICULAR MONSEÑOR ROBERTO
09H02424,INSTITUTO SUIZO
09H02432,UNIDAD EDUCATIVA FISCAL FRANCISCO DE ORELLANA
09H02493,UNIDAD EDUCATIVA PARTICULAR PRESIDENTE CARLOS JULIO AROSEMENA TOLA
09H02503,GUILLERMO SOTO ZATIZABAL
09H02554,ALMT. THOMAS CHARLES WRIGHT MONTGOMERY
09H02574,COLEGIO FISCAL LEONIDAS ORTEGA MOREIRA
09H02586,UNIDAD EDUCATIVA FISCAL MONSEÑOR LEONIDAS PROAÑO
09H02615,UNIDAD EDUCATIVA FISCOMISIONAL EL PROFETA JEREMIAS
09H02630,ESCUELA PARTICULAR DRA. GUADALUPE LARRIVA GONZALEZ
09H02634,UNIDAD EDUCATIVA INTERNACIONAL SEK
09H02723,UNIDAD EDUCATIVA PARTICULAR VOLUNTAS DEI
09H02738,ESCUELA PARTICULAR MIXTA 830 REMINISCENCIAS
09H02746,UNIDAD EDUCATIVA PADRE SOMASCOS EL CENACULO
09H02759,CENTRO DE EDUCACION BASICA VICENTE PIEDRAHITA CARBO
09H02775,UNIDAD EDUCATIVA CARLOS JULIO AROSEMENA TOLA
09H02787,ESCUELA DE EDUCACION BASICA PARTICULAR OCEANO PACIFICO
09H02790,UNIDAD EDUCATIVA FISCAL LUIS FERNANDO VIVERO
09H02794,ESCUELA DE EDUCACION BASICA FISCAL PABLO NERUDA
09H02795,ESCUELA DE EDUCACION BASICA FISCAL ILEANA ESPINEL CEDEÑO
09H02804,ESCUELA DE EDUCACION BASICA FISCAL MANUEL MARIA SANCHEZ
09H02809,UNIDAD EDUCATIVA PARTICULAR LUIS CHIRIBOGA MANRIQUE
09H02842,ESCUELA DE EDUC. BASICA COMPLETA NO. 1 SARAGURO
09H02943,UNIDAD EDUCATIVA 26 DE SEPTIEMBRE
09H03062,CIUDAD DE BALZAR
09H03195,FELIX SARMIENTO NUÑEZ 7
09H03203,UNIDAD EDUCATIVA BILINGÜE TORREMAR
09H03210,COLEGIO PARTICULAR OLMEDO
09H03227,UNIDAD EDUCATIVA FRANCISCO DOLERA
09H03288,MANUEL ANTONIO CHAGUAY
09H03323,CINCO  DE MAYO
09H03363,ESCUELA DE EDUCACION BASICA MARIA EULALIA AVILES
09H03369,UNIDAD EDUCATIVA LAUREL
09H03432,4 DE OCTUBRE
09H03443,VICTORIA TORRES DE NEIRA NO 1
09H03489,COLEGIO DE BACHILLERATO PROVINCIA DE IMBABURA
09H03526,JUAN BOSCO
09H03578,CIUDAD DE FILADELFIA
09H03600,EEB. MAURICIO SIMMONDS
09H03609,ESCUELA DE EDUCACION BASICA BENIGNO RODAS MALDONADO
09H03639,MARIETA DE VEINTIMILLA
09H03655,SANTA MARIANITA
09H03727,EEB. LOS ANDES
09H03791,CENTRO DE EDUCACION BASICA 29 DE SEPTIEMBRE
09H03860,ESCUELA DE EDUCACION BASICA SEGUNDO AU-HING
09H03999,E.E.B. EDUARDO KINGMAN
09H04110,U.E. VICENTE ANDA AGUIRRE
09H04122,U. E. FRANCISCANA SAN ANTONIO
09H04161,E.E.B. HUELLAS DE CONOCIMIENTO
09H04223,U.E. SAN JOSE
09H04230,E.E.B. SIMON BOLIVAR
09H04238,ESCUELA DE EDUCACION BASICA FERROVIARIA
09H04242,E.E.B. MIGUEL ANDRADE MANRIQUE
09H04250,U.E. MARISCAL SUCRE
09H04266,E.E.B. JUDITH ACUÑA DE ROBLES
09H04278,U.E. GUILLERMO DURAN ARCENTALES
09H04326,ESCUELA DE EDUCACION BASICA 24 DE JULIO
09H04330,ESCUELA DE EDUCACION BASICA SIMON BOLIVAR
09H04337,ESCUELA DE EDUCACION BASICA ATAHUALPA
09H04350,ESCUELA DE EDUCACION BASICA NARANJAL
09H04422,CARLOS MATAMOROS JARA
09H04429,UNIDAD EDUCATIVA PUEBLOS UNIDOS
09H04604,UNIDAD EDUCATIVA DR EDUARDO GRANJA GARCES
09H04663,UNIDAD EDUCATIVA MONTE TABOR NAZARET
09H04665,UNIDAD EDUCATIVA FISCAL CUENCA DEL GUAYAS
09H04676,ESCUELA DE EDUCACION BASICA FISCAL 26 DE JUNIO
09H04724,ESCUELA DE EDUCACION BASICA FISCAL DIEZ DE AGOSTO
09H04750,JUAN BAUTISTA VILLAMAR
09H04850,UNIDAD EDUCATIVA RAFAEL SOTOMAYOR Y LUNA
09H04911,CENTRO ESCUELA EUGENIO ESPEJO
09H04924,ESCUELA DE EDUCACION BASICA LUCILA SANTOS DE AROSEMENA
09H04939,UNIDAD EDUCATIVA MONSEÑOR FRANCISCO XAVIER DE GARAICOA
09H05002,ESCUELA DE EDUCACION BASICA TERESA ALAVEDRA ITAMA
09H05033,UNIDAD EDUCATIVA ELOY ALFARO
09H05034,ESCUELA DE EDUCACION BASICA ERNESTO JOUVIN CISNEROS
09H05035,ESCUELA DE EDUCACION BASICA 7 DE AGOSTO
09H05044,SONRISITAS DEL SABER
