id_parr,nombre_parroquia
010352,DANIEL CORDOVA TORAL (EL ORIENTE)
210152,DURENO
190551,CHICAÑA
030103,BORRERO
190158,SAN CARLOS DE LAS MINAS
010850,SANTA ISABEL (CHAGUARURCO)
030350,CAÑAR
131952,SALANGO
170350,MACHACHI
131753,ATAHUALPA
200150,PUERTO BAQUERIZO MORENO
131050,PAJAN
180151,AMBATILLO
060756,SAN ISIDRO DE PATULU
071355,HUERTAS
111050,ALAMOR
130901,ANIBAL SAN ANDRES
140164,RIO BLANCO
060105,YARUQUIES
010150,CUENCA
061050,CUMANDA
140156,SAN ISIDRO
060250,ALAUSI
170169,NANEGALITO
090602,LA AURORA (SATELITE)
050450,PUJILI
030150,AZOGUES
170202,CAYAMBE
020554,SAN PABLO (SAN PABLO DE ATENAS)
220356,RUMIPAMBA
071051,CAPIRO (CAB. EN LA CAPILLA DE CAPIRO)
110652,JIMBURA
180165,SANTA ROSA
190102,ZAMORA
240304,SANTA ROSA
090108,OLMEDO (SAN ALEJO)
180751,BENITEZ (PACHANLICA)
170162,GUANGOPOLO
080453,MALIMPIA
130352,CANUTO
100356,QUIROGA
020101,ANGEL POLIBIO CHAVEZ
110152,CHUQUIRIBAMBA
170117,LA CONCEPCION
050156,MULALO
110802,MACARA (MANUEL ENRIQUE RENGEL SUQUILANDA)
050453,GUANGAJE
200350,PUERTO AYORA
080356,SAN FRANCISCO
220451,AVILA (CAB. EN HUIRUNO)
210551,EL PLAYON DE SAN FRANCISCO
130302,SANTA RITA
170178,PUELLARO
170357,UYUMBICHO
180108,PISHILATA
150352,COTUNDO
091953,JUNQUILLAL
140652,HUAMBI
111350,ZAPOTILLO
070901,BOLIVAR
110959,YAMANA
080450,ROSA ZARATE (QUININDE)
010113,TOTORACOCHA
050151,ALAQUES (ALAQUEZ)
080163,SAN MATEO
180109,SAN FRANCISCO
131051,CAMPOZANO (LA PALMA DE PAJAN)
060156,LICTO
170751,MINDO
170452,MALCHINGUI
091154,TAURA
130105,SAN PABLO
210157,JAMBELI
170113,ITCHIMBIA
120850,VINCES
030651,SOLANO
040154,MALDONADO
040450,MIRA (CHONTAHUASI)
030451,MANUEL J. CALLE
080754,MONTALVO (CAB EN HORQUETA)
160350,SANTA CLARA
180160,PICAIGUA
100352,GARCIA MORENO (LLURIMAGUA)
010103,EL BATAN
180104,HUACHI LORETO
020701,LAS MERCEDES
180650,QUERO
010450,Nabón
010115,Hermano Miguel
010155,Chiquintad
010164,Santa Ana
010358,Zhidmad
010451,Cochapata
010550,Paute
010650,Pucará
010750,San Fernando
010950,Sigsig
010953,Guel
010956,San José De Raranga
011450,Guachapala
011550,Camilo Ponce Enríquez
010357,San Juan
020103,Guanujo
020155,Salinas
020160,San Luis de Pambil
020250,Chillanes
020251,San José del Tambo (Tambopamba)
020351,Asunción (Asancoto)
020353,Magdalena (Chapacoto)
020450,Echeandia
020550,San Miguel
030353,General Morales (Socarte)
030354,Gualleturo
030101,Aurelio Bayas Martínez
030151,Cojitambo
030251,Nazón (Cab. en Pampa de Domínguez)
030355,Honorato Vásquez (Tambo Viejo)
030361,Zhud
030362,Ventura
030363,Ducur
040156,Tobar Donoso (La Bocana de Camumbí)
040251,García Moreno
040255,San Rafael
040353,San Isidro
040302,27 de Septiembre
040350,El Ángel
040555,Piartal
040650,Huaca
040252,Los Andes
050158,Poalo
050451,Angamarca
050458,Zumbahua
050552,Cusubamba
050651,Canchagua
050653,Cochapamba
050751,Chugchillan
050353,Ramón Campaña
050101,Eloy Alfaro (San Felipe)
050102,Ignacio Flores (Parque Flores)
050154,Joseguango Bajo
050162,Toacaso
050352,Pinllopata
050750,Sigchos
050752,Isinlivi
060151,Cacha (Cab. en Machángara)
060251,Achupallas
060302,Sicalpa
060650,Guamote
060652,Palmira
060352,Columbe
060353,Juan De Velasco (Pangor)
060752,Ilapo
060754,San Andrés
060850,Pallatanga
060950,Penipe
060954,San Antonio de Bayushig
070250,Arenillas
070351,Ayapamba
070705,Unión Lojana
071053,Moromoro (Cab. en El Vado)
071153,Salati
071350,Zaruma
071353,Guanazán
071357,Muluncay Grande
070653,Tendales (Cab. en Puerto Tendales)
080557,Mataje (Cab. en Santander)
080259,Santo Domingo de Onzole
080152,Camarones (Cab. en San Vicente)
080250,Valdez (Limones)
080252,Atahualpa (Cab. en Camarones)
080258,San Francisco de Onzole
080354,Quingue (Olmedo Perdomo Franco)
080553,Calderón
090152,Juan Gómez Rendón (Progreso)
090157,Puná
090250,Alfredo Baquerizo Moreno (Jujan)
090350,Balao
090550,Colimes
090654,Limonal
092450,Lomas De Sargentillo
090851,Guayas (Pueblo Nuevo)
090950,El Triunfo
091150,Naranjal
091601,Samborondón
091951,Gral. Vernaza (Dos Esteros)
092055,Yaguachi Viejo (Cone)
092550,Narcisa de Jesús
092850,Isidro Ayora
100152,Angochagua
100301,Sagrario
100453,González Suárez
100455,San José de Quichinche
100102,Guayaquil de Alpachaca
100105,La Dolorosa del Priorato
100151,Ambuqui
100154,La Esperanza
100302,San Francisco
111156,San Pablo de Tenta
110155,Jimbilla
110553,Santa Rufina
110653,Santa Teresita
110654,27 de Abril (Cab. en La Naranja)
110751,Changaimina (La Libertad)
110902,Lourdes
110958,Casanga
111052,El Arenal
111160,Sumaypamba
111354,Paletillas
111451,Chaquinal
111552,San Antonio de las Aradas (Cab. en las Aradas)
120102,Dr. Camilo Ponce
120152,Caracol
120250,Baba
120450,Puebloviejo
130103,Colón
130356,Ricaurte
130357,San Antonio
130551,San Francisco de Novillo (Cab. en Novillo)
130602,Manuel Inocencio Parrales y Guale
130601,Dr. Miguel Moran Lucio
130656,Membrillal
130805,Eloy Alfaro
130852,Santa Marianita (Boca de Pacoche)
131052,Cascol
131150,Pichincha
131151,Barraganete
131355,San Pablo (Cab en Pueblo Nuevo)
131402,Leónidas Plaza Gutiérrez
131457,San Isidro
131652,Noboa
131752,10 de Agosto
131850,Olmedo
130150,Portoviejo
140157,Sevilla Don Bosco
140162,Cuchaentza
140751,Chiguaza
140950,Taisha
140954,Pumpuentsa
140951,Huasaga (Cab en Wampuik)
140952,Macuma
140953,Tuutinentza
141051,Yaupi
141052,Shimpis
141150,Pablo Sexto
141250,Santiago
140254,Chiguinda
140256,Nueva Tarqui
140557,San Francisco de Chinimbimi
140655,Santa Marianita de Jesús
140750,Huamboya
150153,Chontapunta
150155,Puerto Misahuallí
150356,Hatun Sumaku
150154,Pano
150354,San Pablo de Ushpayacu
150450,El Chaco
150750,Baeza
150752,Cuyuja
150753,Papallacta
150454,Santa Rosa
160156,Montalvo (Andoas)
160161,Sarayacu
160162,Simón Bolívar (Cab. en Mushullacta)
160450,Arajuno
160451,Curaray
160163,Tarqui
160154,Diez de Agosto
160251,Madre Tierra
170201,Ayora
170153,Atahualpa (Habaspamba)
170161,Gualea
170203,Juan Montalvo
170351,Aloag
170750,San Miguel de los Bancos
170170,Nayón
170253,Olmedo (Pesillo)
180157,Juan Benigno Vela
180161,Pilaguin (Pilahuin)
180162,Quisapincha (Quizapincha)
180350,Cevallos
180651,Rumipamba
180950,Tisaleo
190451,La Paz
190351,Zurmi
190152,Guadalupe
190651,El Guisme
190750,Zumbi
190553,Los Encuentros
210351,Palma Roja
210650,El Dorado de Cascales
210751,Cuyabeno
210153,General Farfán
210250,Lumbaquí
210254,Puerto Libre
210352,Puerto Bolívar (Puerto Montúfar)
210350,Puerto El Carmen del Putumayo
210452,Pañacocha
210553,Rosa Florida
210652,Sevilla
210750,Tarapoa
220251,Capitán Augusto Rivadeneyra
220253,Santa María de Huiririma
220352,Pompeya
220158,La Belleza
220157,Inés Arango (Cab. En Western)
220152,Taracoa (Nueva Esperanza: Yuca)
220358,Unión Milagreña
220355,Lago San Pedro
220351,Enokanqui
220250,Nuevo Rocafuerte
230104,Rio Toachi
230107,Zaracay
230151,Alluriquín
240101,Ballenita
240301,Carlos Espinoza Larrea
240155,Simón Bolívar (Julio Moreno)
010171,Victoria del Portete (Irquis)
010251,Asunción
011150,Chordeleg
011352,Palmas
020157,San Simón (Yacoto)
040158,Urbina (Taya)
050103,Juan Montalvo (San Sebastián)
050754,Palo Quemado
060260,Tixan
060253,Guasuntos
060255,Multitud
060350,Villa La Unión (Cajabamba)
060552,Compud
070350,Paccha
070451,Bellamaria
071150,Portovelo
080264,Timbire
080351,Bolívar
080652,Sua (Cab. En La Bocana)
080750,Rioverde
100451,Doctor Miguel Egas Cabezas (Peguche)
100155,Lita
100156,Salinas
100201,Andrade Marín (Lourdes)
100251,Imbaya (San Luis de Cobuendo)
100459,Selva Alegre (Cab. en San Miguel de Pamplona)
100652,La Merced de Buenos Aires
110253,Utuana
110651,Bellavista
110754,Purunuma (Eguiguren)
111151,El Paraíso de Celén
111353,Limones
120104,El Salto
120506,San Cristóbal
131353,La Unión
131551,Bachillero
160166,El Triunfo
170107,Chilibulo
170168,Nanegal
180166,Totoras
180753,Cotalo
190450,28 de Mayo (San José De Yacuambi)
190653,Tundayme
200352,Santa Rosa
210252,Gonzalo Pizarro
220354,San Sebastián Del Coca
220160,San José De Guayusa
010152,Cumbe
010156,Llacao
010559,San Cristóbal (Carlos Ordoñez Lazo)
020702,Las Naves
030156,Pindilig
030157,Rivera
030160,Taday
030750,Suscal
040157,Tufiño
050456,Pilalo
050650,Saquisilí
060259,Sibambe
060553,Gonzol
070650,El Guabo
071001,La Matriz
071056,Saracay
071251,Bellavista
080153,Cnel. Carlos Concha Torres (Cab. en Huele)
080352,Daule
090102,Bolívar (Sagrario)
090110,Rocafuerte
090153,Morro
090603,Banife
100550,Pimampiro
110158,San Pedro de Vilcabamba
110952,Guachanama
111158,Selva Alegre
111450,Pindal
130108,18 de Octubre
130353,Convento
131352,Honorato Vásquez (Cab en Vásquez)
140454,Sangay (Cab en Nayamanaca)
140351,Indanza
140451,Arapicos
170154,Calacali
170172,Pacto
180106,La Península
180802,Píllaro
210453,San Roque (Cab. En San Vicente)
220357,Tres De Noviembre
130453,Santa María (Cab en Santa María)
130454,El Paraíso La 14 (Cab en el Paraíso) 
011551,Camilo Ponce
050203,Cab. En Guasaganda
071052,Pinas
071358,Sinsao
071401,La Victoria
100202,Antonio Ante
130653,Julcuy
010102,Cañaribamba
010354,Mariano Moreno
010955,San Bartolomé
020151,Facundo Vela
020553,Regulo de Mora
020556,San Vicente
030104,San Francisco
030351,Chontamarca
040159,El Chical
060450,Chambo
071256,Victoria
080159,Majua
091350,Palestina
100153,Carolina
100552,Mariano Acosta
100553,San Fco. de Sigsipamba
100650,Urcuqui
110451,Cruzpamba (Cab en Carlos Bustamante)
110457,Tnte. Maximiliano Rodríguez Loaiza
110655,El Ingenio
110954,Lauro Guerrero
111054,Mercadillo
111252,Tacamoros
120351,La Esmeralda
130252,Quiroga
130355,Eloy Alfaro
140158,Sinaí
140850,San Juan Bosco
150157,Talag
170451,La Esperanza
190150,Zamora
190251,Chito
190850,Palanda
190852,San Francisco Del Vergel
210251,El Reventador
210454,San Pedro de los Cofanes
210651,Santa Rosa de Sucumbíos
220454,San José De Dahuano
010109,Monay
010250,Girón
010562,Dug
011153,Luis Galarza Orellana (Cab. en Delegsol)
011350,Sevilla De Oro
040250,Bolívar
040254,San Vicente de Pusir
040453,Juan Montalvo (San Ignacio de Quil)
060155,Licán
060158,Punín
060160,San Juan
060351,Cañi
071257,Bellamaría
090852,El Rosario
100150,San Miguel de Ibarra
100651,Cahuasquí
100654,San Blas
110202,Chile
110254,Sanguillín
110351,El Tambo
110353,San Pedro De La Bendita
111155,San Antonio de Qumbe (Cumbe)
111651,La Tingue
130104,Picoaza
130152,Alhajuela (Bajo Grande)
130157,Chirijos
130651,América
130803,San Mateo
130850,Manta
140258,El Ideal
140556,Tayuza
140854,Santiago de Pananza
150158,San Juan de Muyuna
150950,Carlos Julio Arosemena Tola
170171,Nono
180450,Mocha
180553,Sucre (Cab. en Sucre-Patate Urcu)
180758,Salasaca
200151,El Progreso
220353,San Carlos
240350,Salinas
